SiteCode;SiteName;DirectionName;LaneCode;LaneName;Date;TimeFrom;TimeTo;ValuesApproved;ValuesEdited;TrafficType;Total;DateTimeFrom;DateTimeTo;Year;Month;Day;Weekday;HourFrom;DayOfYear;Zst_id
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;04:00;05:00;1;0;Velo;8;2020-01-04 04:00:00;2020-01-04 05:00:00;2020;1;4;5;4;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;05:00;06:00;1;0;Velo;6;2020-01-04 05:00:00;2020-01-04 06:00:00;2020;1;4;5;5;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;06:00;07:00;1;0;Velo;13;2020-01-04 06:00:00;2020-01-04 07:00:00;2020;1;4;5;6;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;07:00;08:00;1;0;Velo;14;2020-01-04 07:00:00;2020-01-04 08:00:00;2020;1;4;5;7;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;08:00;09:00;1;0;Velo;24;2020-01-04 08:00:00;2020-01-04 09:00:00;2020;1;4;5;8;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;09:00;10:00;1;0;Velo;34;2020-01-04 09:00:00;2020-01-04 10:00:00;2020;1;4;5;9;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;10:00;11:00;1;0;Velo;43;2020-01-04 10:00:00;2020-01-04 11:00:00;2020;1;4;5;10;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;11:00;12:00;1;0;Velo;69;2020-01-04 11:00:00;2020-01-04 12:00:00;2020;1;4;5;11;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;12:00;13:00;1;0;Velo;72;2020-01-04 12:00:00;2020-01-04 13:00:00;2020;1;4;5;12;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;13:00;14:00;1;0;Velo;67;2020-01-04 13:00:00;2020-01-04 14:00:00;2020;1;4;5;13;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;14:00;15:00;1;0;Velo;90;2020-01-04 14:00:00;2020-01-04 15:00:00;2020;1;4;5;14;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;15:00;16:00;1;0;Velo;100;2020-01-04 15:00:00;2020-01-04 16:00:00;2020;1;4;5;15;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;16:00;17:00;1;0;Velo;82;2020-01-04 16:00:00;2020-01-04 17:00:00;2020;1;4;5;16;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;17:00;18:00;1;0;Velo;64;2020-01-04 17:00:00;2020-01-04 18:00:00;2020;1;4;5;17;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;18:00;19:00;1;0;Velo;72;2020-01-04 18:00:00;2020-01-04 19:00:00;2020;1;4;5;18;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;19:00;20:00;1;0;Velo;61;2020-01-04 19:00:00;2020-01-04 20:00:00;2020;1;4;5;19;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;20:00;21:00;1;0;Velo;32;2020-01-04 20:00:00;2020-01-04 21:00:00;2020;1;4;5;20;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;21:00;22:00;1;0;Velo;40;2020-01-04 21:00:00;2020-01-04 22:00:00;2020;1;4;5;21;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;22:00;23:00;1;0;Velo;40;2020-01-04 22:00:00;2020-01-04 23:00:00;2020;1;4;5;22;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;04.01.2020;23:00;00:00;1;0;Velo;26;2020-01-04 23:00:00;2020-01-05 00:00:00;2020;1;4;5;23;4;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;00:00;01:00;1;0;Velo;16;2020-01-05 00:00:00;2020-01-05 01:00:00;2020;1;5;6;0;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;01:00;02:00;1;0;Velo;19;2020-01-05 01:00:00;2020-01-05 02:00:00;2020;1;5;6;1;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;02:00;03:00;1;0;Velo;6;2020-01-05 02:00:00;2020-01-05 03:00:00;2020;1;5;6;2;5;350
350;350 Dreirosenbrücke;1 nach Kleinbasel;7.0;Spur 7;05.01.2020;03:00;04:00;1;0;Velo;4;2020-01-05 03:00:00;2020-01-05 04:00:00;2020;1;5;6;3;5;350
